name	birthdate
Chris Hemsworth	NULL
Michael Lerner	NULL
Rosario Dawson	NULL
Jeffrey Wright	NULL
Emily Watson	NULL
Patrick Swayze	NULL
Nicholas Hoult	NULL
Marcello Mastroianni	NULL
Famke Janssen	NULL
Abbie Cornish	NULL
Carole Lombard	NULL
Nick Nolte	NULL
Pierce Brosnan	NULL
Rose Byrne	NULL
Jason Robards	NULL
Lake Bell	NULL
Hugo Weaving	NULL
Sean Penn	1960-08-17
Henry Fonda	1905-05-16
Lillian Gish	NULL
Hugh Grant	NULL
Josh Hutcherson	NULL
Catalina Sandino Moreno	NULL
Ida Lupino	NULL
Greg Kinnear	NULL
Jason Statham	NULL
Catherine Keener	NULL
Justin Bartha	NULL
Andrew Garfield	NULL
Ned Beatty	NULL
Ethan Hawke	NULL
Antonio Banderas	NULL
Norman Reedus	NULL
James Stewart	1908-05-20
Jennifer Garner	NULL
Jean Arthur	NULL
Zoe Saldana	NULL
Robert Forster	NULL
Shia LaBeouf	NULL
Faye Dunaway	1941-01-14
Ava Gardner	NULL
John Houseman	NULL
Claire Danes	NULL
Kirsten Dunst	NULL
Greta Garbo	NULL
Jennifer Jones	1919-03-02
Emily Browning	NULL
Thomas Mitchell	NULL
Javier Bardem	NULL
Sam Waterston	NULL
Martin Balsam	NULL
James Franco	NULL
Emma Watson	NULL
Spencer Tracy	1900-04-05
Sophie Marceau	NULL
Chiwetel Ejiofor	NULL
Bruce Willis	NULL
Joey King	NULL
Emilia Clarke	NULL
Tatum O'Neal	NULL
Queen Latifah	NULL
Oscar Isaac	NULL
Alec Guinness	1914-04-02
Naomi Watts	NULL
Doris Day	NULL
Janet Leigh	NULL
Tyrese Gibson	NULL
Stellan Skarsgård	NULL
Donald Sutherland	NULL
Léa Seydoux	NULL
Marion Cotillard	1975-09-30
Michelle Rodriguez	NULL
Melanie Griffith	NULL
Michelle Trachtenberg	NULL
Benedict Cumberbatch	NULL
Steve Carell	NULL
Rashida Jones	NULL
Joe Pesci	NULL
Rebecca Hall	NULL
Suraj Sharma	NULL
Felicity Jones	NULL
William Shatner	NULL
Mercedes McCambridge	NULL
Jude Law	NULL
Evangeline Lilly	NULL
Christopher Lee	NULL
Alexander Skarsgård	NULL
Piper Laurie	NULL
Sam Elliott	NULL
Ellen Burstyn	1932-12-07
Rosie Huntington-Whiteley	NULL
Simone Signoret	1921-03-25
Charlize Theron	1975-08-07
Jackie Chan	NULL
Rinko Kikuchi	NULL
Jay Baruchel	NULL
Celeste Holm	NULL
Liza Minnelli	1946-03-12
Andy Samberg	NULL
Keira Knightley	NULL
Deborah Kerr	NULL
George Burns	NULL
Armin Mueller-Stahl	NULL
Virginia Madsen	NULL
Katharine Hepburn	1907-05-12
Aaron Taylor-Johnson	NULL
Eva Mendes	NULL
Bryan Cranston	NULL
Richard Jenkins	NULL
Setsuko Hara	NULL
Richard Gere	NULL
Kaley Cuoco	NULL
Johnny Depp	NULL
Mila Kunis	NULL
Richard Dreyfuss	1947-10-29
Jack Palance	NULL
Robin Weigert	NULL
Jessica Chastain	NULL
Michael Rooker	NULL
Rod Steiger	1925-04-14
Paddy Considine	NULL
Joseph Cotten	NULL
Jane Wyman	1914-01-04
Lindsay Lohan	NULL
Evan Rachel Wood	NULL
Thora Birch	NULL
Robert Mitchum	NULL
Bernie Mac	NULL
George Kennedy	NULL
Tim Roth	NULL
Olivia Wilde	NULL
Ashley Judd	NULL
Eric Bana	NULL
Albert Brooks	NULL
Elisabeth Moss	NULL
Robert Shaw	NULL
Cameron Diaz	NULL
Ashley Greene	NULL
Judy Davis	NULL
Paul Lukas	1895-05-26
Cate Blanchett	1969-05-14
Adam Sandler	NULL
Olivia Thirlby	NULL
Julia Stiles	NULL
Anthony Perkins	NULL
Gal Gadot	NULL
Dean Stockwell	NULL
George Chakiris	NULL
Donald Crisp	NULL
Vivien Leigh	1913-11-05
Giovanni Ribisi	NULL
Lee Marvin	1924-02-19
Sarah Michelle Gellar	NULL
Linda Hamilton	NULL
Hugh Jackman	NULL
Mae West	NULL
Nathan Lane	NULL
Saoirse Ronan	NULL
Scarlett Johansson	NULL
Imelda Staunton	NULL
Susan Hayward	1917-06-30
Robert Downey Jr.	NULL
Myrna Loy	NULL
Bill Hader	NULL
David Niven	1910-03-01
Priyanka Chopra	NULL
Chris Pratt	NULL
Mélanie Laurent	NULL
Bette Midler	NULL
Garrett Hedlund	NULL
Marlon Brando	1924-04-03
Jennifer Coolidge	NULL
Albert Finney	NULL
Alan Arkin	NULL
Montgomery Clift	NULL
Peter Sellers	NULL
Rutger Hauer	NULL
Guy Pearce	NULL
Djimon Hounsou	NULL
Louise Fletcher	1934-07-22
Janet Gaynor	1906-10-06
Teresa Wright	NULL
Carol Burnett	NULL
Harvey Keitel	NULL
Debbie Reynolds	NULL
Louis Gossett Jr.	NULL
Ziyi Zhang	NULL
Philip Seymour Hoffman	NULL
Johnny Knoxville	NULL
Katherine Heigl	NULL
Errol Flynn	NULL
Kate Mara	NULL
Natalie Portman	1981-09-06
Tim Robbins	NULL
Meryl Streep	1949-06-22
Bruce Davison	NULL
Fredric March	1897-08-31
Marlene Dietrich	NULL
Marsha Mason	NULL
Christopher Plummer	NULL
Amanda Seyfried	NULL
Maria Falconetti	NULL
Isabelle Huppert	NULL
Patricia Arquette	NULL
Tom Wilkinson	NULL
Al Pacino	1940-04-25
Samuel L. Jackson	NULL
Daniel Day-Lewis	1957-04-29
Peggy Ashcroft	NULL
Wallace Beery	1885-04-01
Christian Bale	NULL
Roy Scheider	NULL
Liam Neeson	NULL
Shirley MacLaine	1934-04-24
Catherine Zeta-Jones	NULL
Gillian Anderson	NULL
Rosalind Russell	NULL
Noomi Rapace	NULL
AnnaSophia Robb	NULL
Natalie Wood	NULL
Richard Harris	NULL
Anthony Mackie	NULL
Lesley Manville	NULL
Alec Baldwin	NULL
Maya Rudolph	NULL
Lili Taylor	NULL
Sally Hawkins	NULL
Romain Duris	NULL
Clark Gable	1901-02-01
Robin Wright	NULL
James Mason	NULL
Mary Elizabeth Winstead	NULL
Linda Hunt	NULL
Emmanuelle Riva	NULL
Mo'Nique	NULL
Christina Ricci	NULL
Diane Keaton	1946-01-05
Woody Harrelson	NULL
Gary Busey	NULL
Edmund Gwenn	NULL
Claude Rains	NULL
Josh Duhamel	NULL
Vincent Cassel	NULL
Billy Crystal	NULL
William Powell	NULL
Jennifer Connelly	NULL
Jason Bateman	NULL
Isabelle Adjani	NULL
Greer Garson	1904-09-29
Maximilian Schell	1930-12-08
Helen Hayes	1900-10-10
Jon Hamm	NULL
Ryan Gosling	NULL
Takashi Shimura	NULL
Paul Giamatti	NULL
Jessica Alba	NULL
Greta Gerwig	NULL
Peter Lorre	NULL
Cary Grant	NULL
Olympia Dukakis	NULL
Lucy Liu	NULL
Teresa Palmer	NULL
James Marsden	NULL
Jeanne Moreau	NULL
Gloria Grahame	NULL
Kathy Bates	1948-06-28
Christopher Lloyd	NULL
Ray Stevenson	NULL
Chuck Norris	NULL
Lionel Barrymore	1878-04-28
Angela Lansbury	NULL
Jodie Foster	1962-11-19
Mark Hamill	NULL
Billy Crudup	NULL
Thomas Haden Church	NULL
Drew Barrymore	NULL
Richard Burton	NULL
Josh Hartnett	NULL
Christine Taylor	NULL
Amanda Crew	NULL
Geraldine Page	1924-11-22
Josh Gad	NULL
John Leguizamo	NULL
Adriana Barraza	NULL
Heath Ledger	NULL
Kiefer Sutherland	NULL
Orlando Bloom	NULL
Chris Cooper	NULL
Marisa Tomei	NULL
Don Ameche	NULL
Felicity Huffman	NULL
Whoopi Goldberg	NULL
Hilary Swank	1974-07-30
Mira Sorvino	NULL
Joaquin Phoenix	NULL
Benjamin Bratt	NULL
Hayden Christensen	NULL
Marion Davies	NULL
Franka Potente	NULL
Chloë Sevigny	NULL
Charlie Day	NULL
Jennifer Aniston	NULL
Hilary Duff	NULL
John Gielgud	NULL
Linda Fiorentino	NULL
Gloria Stuart	NULL
Kristen Wiig	NULL
Matthew McConaughey	1969-11-04
James Coburn	NULL
Michael Cera	NULL
Julianne Hough	NULL
Elizabeth Taylor	1932-02-27
James Gandolfini	NULL
Beyoncé	NULL
Jeff Daniels	NULL
Bradley Cooper	NULL
Edward Norton	NULL
Judy Holliday	1921-06-21
Grace Kelly	1929-11-12
Shelley Winters	NULL
Mads Mikkelsen	NULL
Estelle Parsons	NULL
Tom Conti	NULL
Art Carney	1918-11-04
Groucho Marx	NULL
Joan Fontaine	1917-10-22
Uma Thurman	NULL
Charlie Sheen	NULL
Olga Kurylenko	NULL
Billy Bob Thornton	NULL
Mia Farrow	NULL
Hugh Griffith	NULL
Ralph Fiennes	NULL
Julia Roberts	1967-10-28
Nicole Kidman	1967-06-20
Mercedes Ruehl	NULL
James Cagney	1899-07-17
Red Buttons	NULL
Jena Malone	NULL
Jill Clayburgh	NULL
Mandy Moore	NULL
Steve Coogan	NULL
Luke Wilson	NULL
Jessica Tandy	1909-06-07
Benicio Del Toro	NULL
Maggie Smith	1934-12-28
Taraji P. Henson	NULL
Ruby Dee	NULL
Richard Farnsworth	NULL
Burl Ives	NULL
Jake Gyllenhaal	NULL
Brendan Fraser	NULL
Haley Joel Osment	NULL
David Oyelowo	NULL
Nick Swardson	NULL
Tom Hanks	1956-07-09
Sophia Loren	1934-09-20
Mike Vogel	NULL
Chris Evans	NULL
Logan Lerman	NULL
Jamie Chung	NULL
Cobie Smulders	NULL
Orson Welles	NULL
Richard E. Grant	NULL
Margot Robbie	NULL
Lauren Bacall	NULL
Warner Baxter	1889-03-29
Ray Milland	1905-01-03
Billy Burke	NULL
Danny Aiello	NULL
Elisabeth Shue	NULL
Jane Fonda	1937-12-21
Rhys Ifans	NULL
Ellen DeGeneres	NULL
Hailee Steinfeld	NULL
Ben Kingsley	1943-12-31
Sean Astin	NULL
Björk	NULL
Gig Young	NULL
Laurence Fishburne	NULL
Renée Zellweger	NULL
Jet Li	NULL
Sam Rockwell	NULL
Lee Grant	NULL
Robert Donat	1905-03-18
Tyler Perry	NULL
Sarah Polley	NULL
Keisha Castle-Hughes	NULL
Frank Langella	NULL
Ellen Page	NULL
Jessica Biel	NULL
Dudley Moore	NULL
Clark Gregg	NULL
Mary Tyler Moore	NULL
Sacha Baron Cohen	NULL
Daryl Hannah	NULL
Samantha Morton	NULL
Ethel Barrymore	NULL
Seth Rogen	NULL
Michael Douglas	1944-09-25
Woody Allen	NULL
Judi Dench	NULL
Tom Courtenay	NULL
Seth MacFarlane	NULL
Cuba Gooding Jr.	NULL
Tim Allen	NULL
Terrence Howard	NULL
Mireille Enos	NULL
Cam Gigandet	NULL
Janet McTeer	NULL
Eva Marie Saint	NULL
Brenda Fricker	NULL
Alice Eve	NULL
Jon Heder	NULL
Christopher Guest	NULL
Wesley Snipes	NULL
Alicia Vikander	NULL
Debra Winger	NULL
Timothy Hutton	NULL
Paul Rudd	NULL
James McAvoy	NULL
Russell Crowe	1964-04-07
Melissa McCarthy	NULL
Meg Ryan	NULL
Dave Franco	NULL
Eddie Redmayne	1982-01-06
Patrick Wilson	NULL
Emil Jannings	1884-07-23
Josh Lucas	NULL
Brian Cox	NULL
Patty Duke	NULL
John Turturro	NULL
Alexandra Daddario	NULL
Adrianne Palicki	NULL
Zach Galifianakis	NULL
Michael Fassbender	NULL
Val Kilmer	NULL
Gwyneth Paltrow	1972-09-28
Mark Strong	NULL
Andy Garcia	NULL
Josh Brolin	NULL
Vin Diesel	NULL
Barbra Streisand	1942-04-24
Sarah Jessica Parker	NULL
Patrick Stewart	NULL
Kate Winslet	1975-10-05
Ernest Borgnine	1917-01-24
Jason Sudeikis	NULL
Owen Wilson	NULL
Leonardo DiCaprio	NULL
Catherine Deneuve	NULL
Alexis Thorpe	NULL
Michael Keaton	NULL
Jeff Goldblum	NULL
Martin Lawrence	NULL
Gloria Swanson	NULL
Jo Van Fleet	NULL
Christina Applegate	NULL
John Travolta	NULL
Nia Long	NULL
Charles Chaplin	NULL
Ben Stiller	NULL
Melissa Leo	NULL
Gene Kelly	NULL
Walter Matthau	NULL
Christoph Waltz	NULL
Anjelica Huston	NULL
Emma Thompson	1959-04-15
Fred Astaire	NULL
Ray Liotta	NULL
Raquel Welch	NULL
Kate Beckinsale	NULL
Miranda Richardson	NULL
Rebecca Romijn	NULL
Michelle Monaghan	NULL
Jon Favreau	NULL
Broderick Crawford	1911-12-09
Jared Leto	NULL
Jean Dujardin	1972-07-19
Paul Walker	NULL
John Hawkes	NULL
Ali Larter	NULL
Erich von Stroheim	NULL
Hattie McDaniel	NULL
Mary McDonnell	NULL
Liam Hemsworth	NULL
January Jones	NULL
Amanda Peet	NULL
Taylor Kitsch	NULL
Jean-Louis Trintignant	NULL
Parker Posey	NULL
Salma Hayek	NULL
Boris Karloff	NULL
Vanessa Hudgens	NULL
Brittany Snow	NULL
Klaus Kinski	NULL
Neve Campbell	NULL
Norma Shearer	1902-08-10
Ed Begley	NULL
Michael C. Hall	NULL
Sue Lyon	NULL
Gerard Butler	NULL
Amanda Bynes	NULL
David Spade	NULL
Jeremy Renner	NULL
Roberto Benigni	1952-10-27
John Wayne	1907-05-26
Rooney Mara	NULL
Anna Paquin	NULL
Gary Sinise	NULL
Talia Shire	NULL
Kevin Costner	NULL
Jamie Bell	NULL
Julie Christie	1940-04-14
James Dean	NULL
Cillian Murphy	NULL
Kristen Stewart	NULL
Jim Carrey	NULL
Fairuza Balk	NULL
John Mills	NULL
Danny Glover	NULL
Chris Rock	NULL
Channing Tatum	NULL
Tobey Maguire	NULL
Shohreh Aghdashloo	NULL
Sean Connery	NULL
Jacki Weaver	NULL
Mark Wahlberg	NULL
Rene Russo	NULL
Christopher Walken	NULL
Casey Affleck	1975-08-12
Kim Hunter	NULL
George Clooney	NULL
Robin Williams	NULL
Jean Harlow	NULL
Yun-Fat Chow	NULL
Nicolas Cage	1964-01-07
Jason Schwartzman	NULL
Courteney Cox	NULL
Alan Alda	NULL
Tom Hardy	NULL
Miyoshi Umeki	NULL
Toshirô Mifune	NULL
Patricia Neal	1926-01-20
Dennis Hopper	NULL
Abigail Breslin	NULL
Jamie Lee Curtis	NULL
Julianne Moore	1960-12-03
Bonnie Hunt	NULL
Julia Louis-Dreyfus	NULL
Jack Davenport	NULL
Michael Ealy	NULL
John Krasinski	NULL
Pam Grier	NULL
Jim Caviezel	NULL
Juliette Binoche	NULL
Patricia Clarkson	NULL
Miles Teller	NULL
Gabourey Sidibe	NULL
Bette Davis	1908-04-05
Matt Dillon	NULL
Dean Jagger	NULL
Dakota Johnson	NULL
John Cusack	NULL
Gale Sondergaard	NULL
Nastassja Kinski	NULL
Harrison Ford	NULL
Shah Rukh Khan	NULL
Edmond O'Brien	NULL
Burt Lancaster	1913-11-02
Jean-Claude Van Damme	NULL
Craig Robinson	NULL
Emily Blunt	NULL
Emma Stone	1988-11-06
Alfred Molina	NULL
Seth Green	NULL
Nigel Hawthorne	NULL
Common	NULL
Judy Garland	NULL
Charlton Heston	1923-10-04
Zooey Deschanel	NULL
Diane Lane	NULL
Robert Redford	NULL
Goldie Hawn	NULL
Jennifer Lopez	NULL
Thandie Newton	NULL
Don Cheadle	NULL
José Ferrer	NULL
Ioan Gruffudd	NULL
Rob Lowe	NULL
Demi Moore	NULL
Bill Pullman	NULL
Reese Witherspoon	1976-03-22
Rufus Sewell	NULL
Sophie Okonedo	NULL
Jack Black	NULL
Stockard Channing	NULL
Mindy Kaling	NULL
Walter Huston	NULL
Denzel Washington	1954-12-28
Paul Dano	NULL
Julie Andrews	1935-10-01
Paul Muni	1895-09-22
Donna Reed	NULL
Joel McCrea	NULL
Jared Harris	NULL
Dorothy Malone	NULL
Shirley Jones	NULL
Arnold Schwarzenegger	NULL
Helena Bonham Carter	NULL
Carrie Fisher	NULL
Chazz Palminteri	NULL
Leslie Mann	NULL
Gena Rowlands	NULL
Keanu Reeves	NULL
Tom Cruise	NULL
Pete Postlethwaite	NULL
David Strathairn	NULL
Mickey Rourke	NULL
Gary Cooper	1901-05-07
Angela Bassett	NULL
Jean Reno	NULL
Mia Wasikowska	NULL
Jon Voight	1938-12-29
Octavia Spencer	NULL
Joan Crawford	1912-03-23
Jonathan Pryce	NULL
Danny DeVito	NULL
Chris Klein	NULL
Anne Hathaway	NULL
Clive Owen	NULL
Juliette Lewis	NULL
Carrie-Anne Moss	NULL
Carey Mulligan	NULL
Malcolm McDowell	NULL
Timothy Olyphant	NULL
Anne Bancroft	1931-09-17
Laurence Olivier	1907-05-22
Ginger Rogers	1911-07-16
Teri Garr	NULL
Sandy Dennis	NULL
Charles Laughton	1899-07-01
Jennifer Love Hewitt	NULL
Dick Van Dyke	NULL
Susan Sarandon	1946-10-04
Joan Allen	NULL
Danny McBride	NULL
Chris Pine	NULL
Marie Dressler	1868-11-09
Elizabeth Olsen	NULL
Frank Sinatra	NULL
Paul Scofield	1922-01-21
Lance Henriksen	NULL
Brendan Gleeson	NULL
Loretta Young	1913-01-06
Penélope Cruz	NULL
James Spader	NULL
Warren Beatty	NULL
Cher	1946-05-20
Colin Firth	1960-10-09
Lena Headey	NULL
Jonah Hill	NULL
Holly Hunter	1958-03-20
Kerry Washington	NULL
Adrien Brody	1973-04-14
Kathleen Turner	NULL
Kate Hudson	NULL
Dustin Hoffman	1937-08-08
Frances McDormand	1957-06-23
Anthony Quinn	NULL
Jackie Earle Haley	NULL
Audrey Hepburn	1929-05-04
Jack Albertson	NULL
Mike Myers	NULL
Hal Holbrook	NULL
Edward G. Robinson	NULL
Emma Roberts	NULL
Mark Ruffalo	NULL
Fernanda Montenegro	NULL
Wendy Hiller	NULL
Jonathan Rhys Meyers	NULL
William Hurt	1950-03-20
Lupita Nyong'o	NULL
Justin Timberlake	NULL
Bruno Ganz	NULL
Elizabeth Banks	NULL
Paula Patton	NULL
Kathleen Quinlan	NULL
Miley Cyrus	NULL
Tommy Lee Jones	NULL
Laura Dern	NULL
Jamie Foxx	1967-12-13
Edward James Olmos	NULL
Dakota Fanning	NULL
Peter Dinklage	NULL
Helen Mirren	1945-07-26
Jack Lemmon	1925-02-08
Analeigh Tipton	NULL
Keri Russell	NULL
Chris Tucker	NULL
Michelle Williams	NULL
Lenny Kravitz	NULL
Anna Magnani	1908-03-07
John Hurt	NULL
Jai Courtney	NULL
Matthew Broderick	NULL
Julie Walters	NULL
Jason Segel	NULL
Rob Schneider	NULL
Anne Baxter	NULL
Peter Fonda	NULL
Kenneth Branagh	NULL
Henry Cavill	NULL
Eileen Heckart	NULL
Kristen Bell	NULL
Jennifer Jason Leigh	NULL
Michael Shannon	NULL
Jennifer Hudson	NULL
Matt Damon	NULL
Sharon Stone	NULL
Barry Pepper	NULL
Leslie Nielsen	NULL
Justin Long	NULL
Michael J. Fox	NULL
James Cromwell	NULL
Melvyn Douglas	NULL
John Malkovich	NULL
Mahershala Ali	NULL
Kellan Lutz	NULL
Victor McLaglen	1883-12-11
Sidney Poitier	1927-02-20
Martin Sheen	NULL
Kevin Kline	NULL
Rachel Griffiths	NULL
Pauline Collins	NULL
Ginnifer Goodwin	NULL
Dennis Quaid	NULL
Alicia Silverstone	NULL
Yul Brynner	1915-07-07
William H. Macy	NULL
Chloë Grace Moretz	NULL
Kirk Douglas	NULL
Joseph Gordon-Levitt	NULL
Idris Elba	NULL
Robert De Niro	1943-08-17
Sean Bean	NULL
Will Smith	NULL
Barry Fitzgerald	NULL
Liv Tyler	NULL
Beatrice Straight	NULL
Forest Whitaker	1961-07-15
Shailene Woodley	NULL
Ian Holm	NULL
Bob Hoskins	NULL
Sofía Vergara	NULL
Ian McKellen	NULL
Kat Dennings	NULL
Brie Larson	1989-10-01
Elijah Wood	NULL
Daniel Radcliffe	NULL
Hugh Laurie	NULL
Natalie Dormer	NULL
Charlie Hunnam	NULL
Kevin James	NULL
John Rhys-Davies	NULL
Freddie Prinze Jr.	NULL
Andrea Riseborough	NULL
Alan Rickman	NULL
Marcia Gay Harden	NULL
Tilda Swinton	NULL
Martin Landau	NULL
Michael Sheen	NULL
Sigourney Weaver	NULL
Michael Clarke Duncan	NULL
Bruce Dern	NULL
Ashton Kutcher	NULL
River Phoenix	NULL
Jack Nicholson	1937-04-22
Craig T. Nelson	NULL
Sam Worthington	NULL
Robert Pattinson	NULL
Kate Bosworth	NULL
Chris O'Donnell	NULL
Kevin Hart	NULL
Irrfan Khan	NULL
Willem Dafoe	NULL
Anna Faris	NULL
Brenda Blethyn	NULL
Mary Pickford	1892-04-08
Claire Trevor	NULL
Bruce Lee	NULL
Sandra Bullock	1964-07-26
Maureen Stapleton	NULL
Maggie Grace	NULL
Steve Martin	NULL
Burt Reynolds	NULL
Paul Bettany	NULL
John Cleese	NULL
Glenda Jackson	1936-05-09
Bill Paxton	NULL
Claudette Colbert	1903-09-13
Dan Aykroyd	NULL
Nick Frost	NULL
Liev Schreiber	NULL
Russell Brand	NULL
Randy Quaid	NULL
Rita Moreno	NULL
Liv Ullmann	NULL
Jane Alexander	NULL
Ed Helms	NULL
Dianne Wiest	NULL
Clint Eastwood	NULL
Kevin Spacey	1959-07-26
Molly Ringwald	NULL
Rebel Wilson	NULL
Macaulay Culkin	NULL
Jessica Lange	1949-04-20
James Garner	NULL
Cloris Leachman	NULL
Olivia de Havilland	1916-07-01
William Holden	1918-04-17
Ben Johnson	NULL
Jesse Eisenberg	NULL
Toni Collette	NULL
Lily Collins	NULL
Anthony Hopkins	1937-12-31
Alex Pettyfer	NULL
Daniel Brühl	NULL
Halle Berry	1966-08-14
Leighton Meester	NULL
Whitney Houston	NULL
Peter O'Toole	NULL
Barbara Stanwyck	NULL
Sylvester Stallone	NULL
Gemma Arterton	NULL
Rex Harrison	1908-03-05
Angelina Jolie	NULL
Jeff Bridges	1949-12-04
Will Ferrell	NULL
Karl Urban	NULL
Graham Greene	NULL
Joseph Schildkraut	NULL
Lily Tomlin	NULL
Christopher Reeve	NULL
Piper Perabo	NULL
Mark Rylance	NULL
Claudia Cardinale	NULL
Sissy Spacek	1949-12-25
Betty White	NULL
Kate Capshaw	NULL
Ryan Reynolds	NULL
Morgan Freeman	NULL
Jane Darwell	NULL
Kristin Scott Thomas	NULL
Robert Duvall	1931-01-05
Humphrey Bogart	1899-12-25
Jim Broadbent	NULL
Max von Sydow	NULL
J.K. Simmons	NULL
Olivia Newton-John	NULL
Mary Astor	NULL
Minnie Driver	NULL
Amy Adams	NULL
June Squibb	NULL
Marlon Wayans	NULL
Min-sik Choi	NULL
Audrey Tautou	NULL
Kim Novak	NULL
David Thewlis	NULL
Van Heflin	NULL
Daniel Craig	NULL
Marilyn Monroe	NULL
Anna Friel	NULL
Topher Grace	NULL
Sally Field	1946-11-06
George C. Scott	1927-10-18
Glenn Close	NULL
Freddie Highmore	NULL
Kevin Bacon	NULL
James Woods	NULL
Michael B. Jordan	NULL
Jada Pinkett Smith	NULL
Blake Lively	NULL
Ben Foster	NULL
Ruth Gordon	NULL
Bill Murray	NULL
Jean-Paul Belmondo	NULL
Charlotte Rampling	NULL
James Caan	NULL
Rob Riggle	NULL
Maggie Gyllenhaal	NULL
Shirley Temple	NULL
Kurt Russell	NULL
Vanessa Redgrave	NULL
Jessica Lucas	NULL
Freida Pinto	NULL
Zac Efron	NULL
Vera Farmiga	NULL
Ed Harris	NULL
John Goodman	NULL
Bing Crosby	1903-05-03
Viggo Mortensen	NULL
George Sanders	NULL
Peter Sarsgaard	NULL
Rachel Weisz	NULL
Gael García Bernal	NULL
Michelle Yeoh	NULL
John C. Reilly	NULL
Breckin Meyer	NULL
Christopher Mintz-Plasse	NULL
Maria Bello	NULL
Jennifer Lawrence	1990-08-15
Lucille Ball	NULL
Lisa Kudrow	NULL
Michael Caine	NULL
Eddie Murphy	NULL
Katie Holmes	NULL
Paul Newman	1925-01-26
Stanley Tucci	NULL
Mary Steenburgen	NULL
Luise Rainer	1910-01-12
Anna Kendrick	NULL
Cliff Robertson	1925-09-09
Julie Delpy	NULL
Geoffrey Rush	1951-07-06
Brad Pitt	NULL
Mel Gibson	NULL
Marlee Matlin	1965-08-24
Neil Patrick Harris	NULL
Helen Hunt	1963-06-15
Cary Elwes	NULL
Aaron Eckhart	NULL
Colin Farrell	NULL
Harpo Marx	NULL
Steve McQueen	NULL
Laura Linney	NULL
Cedric the Entertainer	NULL
Jean Seberg	NULL
Joanne Woodward	1930-02-27
Ingrid Bergman	1915-08-29
Amber Heard	NULL
Ice Cube	NULL
Simon Pegg	NULL
Kim Basinger	NULL
Winona Ryder	NULL
Carmen Miranda	NULL
Ronald Colman	1891-02-09
Rosamund Pike	NULL
Emmy Rossum	NULL
Eva Green	NULL
Tina Fey	NULL
Shirley Booth	1898-08-30
Milla Jovovich	NULL
Vincent Gallo	NULL
Lynn Redgrave	NULL
Dwayne Johnson	NULL
Andy Serkis	NULL
Rachel McAdams	NULL
Vince Vaughn	NULL
Viola Davis	NULL
Isla Fisher	NULL
Tom Hiddleston	NULL
Rita Hayworth	NULL
Buster Keaton	NULL
Gregory Peck	1916-04-05
Bérénice Bejo	NULL
Megan Fox	NULL
F. Murray Abraham	1939-10-24
Sally Kirkland	NULL
Geena Davis	NULL
Eliza Dushku	NULL
Tom Hulce	NULL
Haing S. Ngor	NULL
Gérard Depardieu	NULL
Ben Affleck	NULL
Ken Watanabe	NULL
Gene Hackman	1930-01-30
Jeremy Irons	1948-09-19
Peter Finch	1916-09-28
Charles Coburn	NULL
Steve Buscemi	NULL
Gene Wilder	NULL
Stephen Rea	NULL
Annette Bening	NULL
Amy Ryan	NULL
Maureen O'Hara	NULL
Jerry Lewis	NULL
Andrew Lincoln	NULL
Harold Russell	NULL
Walter Brennan	NULL
Peter Ustinov	NULL
Téa Leoni	NULL
Michelle Pfeiffer	NULL
Ewan McGregor	NULL
Ray Winstone	NULL
Ryan Phillippe	NULL
Selena Gomez	NULL
